db_version,record_id,work_key,principal_fields_checked,initial_principal_agreement,reconciliation_note,final_status
VLA-Attack-ER-v2026-06-16,D01,wang2025vlaadversarial,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D02,jones2025robogcg,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",partial,real_robot_actuation changed from reported to no,reconciled
VLA-Attack-ER-v2026-06-16,D03,wang2025freezevla,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,real_robot_actuation retained conservatively as NR,reconciled
VLA-Attack-ER-v2026-06-16,D04,zhou2025badvla,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D05,zhou2025goba,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D06,xu2025dropvla,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D07,li2025attackvla,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D08,yan2025vlafool,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D09,xu2025edpa,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D10,zhang2025advla,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D11,lu2026patch,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D12,fu2026vlahijack,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D13,chen2026tex3d,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D14,huang2026trap,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D15,altered2026thoughts,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D16,wu2026saber,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D17,srikanth2026qdig,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D18,xu2026silentdrift,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D19,puthumanaillam2026trajectory,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D20,wang2026partialpatch,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D21,teymoorianfard2026reasonbreak,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D22,peng2026miavla,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",agree,no change,reconciled
VLA-Attack-ER-v2026-06-16,D23,luan2026vlaleaks,"evidence_stratum;family;lifecycle;knowledge_level;access_channel;privilege_level;highest_validation_tier;target_representation;objective;action_representation;real_robot_actuation;transfer_reported;query_budget_reported;recovery_policy_reported",partial,real_robot_actuation changed from reported to no,reconciled
